,Сельское хозяйство и пищевая промышленность,Добывающая промышленность,Легкая и химическая промышленность,Тяжелая промышленность и машиностроение,"Энергетика, строительство и инфраструктура","Услуги, торговля и финансы"
Сельское хозяйство и пищевая промышленность,0.597957366408274,0.0019604985433360643,0.3442302687945087,0.03510073159878197,0.005366671036087345,0.1277176257818663
Добывающая промышленность,0.015899019264930776,0.1171202743689969,1.0315695689753437,0.006765611234696035,0.09895849053852036,0.0010058422916345209
Легкая и химическая промышленность,0.33002795360789633,0.22222902507237607,2.0958259582776875,1.035298257094548,0.42129054513641834,1.1544876204799714
Тяжелая промышленность и машиностроение,0.026852424088331606,0.03120698352377503,0.14902347849916545,0.43532589243078423,0.045582286905113185,0.22763246400202114
"Энергетика, строительство и инфраструктура",0.064971098043242,0.080304512784274,0.18041977268816825,0.0408859810845871,0.1040439963212838,0.3628337857388724
"Услуги, торговля и финансы",0.5952496416287106,0.3868525417573682,1.8383048344838548,0.8149484031207533,0.3478331277866793,3.8197827108030813
