,Первичный сектор и пищевая промышленность,Промышленность и строительство,"Транспорт, туризм, торговля","Услуги, финансы и государственный сектор"
Первичный сектор и пищевая промышленность,0.777844268819121,1.5303958316371278,0.11898303986055309,0.06093616763740396
Промышленность и строительство,0.9016880323746188,4.308288533490257,0.9380323859758701,0.7557257448205377
"Транспорт, туризм, торговля",0.6245798624099148,1.9696071774229649,0.5059603454564596,0.32076223524356345
"Услуги, финансы и государственный сектор",0.48599467478675173,0.903006834157736,1.155735052784251,1.8373250773188101
